Main,Code,Category,Description
Defense,1605,Arms Control and Nuclear Nonproliferation.,"Examples: budget estimates, requests and appropriations for arms control and nuclear non-proliferation, disarmament talks and plans (eg the Geneva Conference), proposals for the elimination of intermediate range nuclear missiles, limits on long-range nuclear weapons, nonproliferation of weapons of mass destruction, destruction of nuclear weapons in the Soviet Union, North Korean nuclear program, arms control policies, nonproliferation of chemical weapons, nuclear testing moratorium (eg Nuclear Test Ban Treaty 1962), dismantling of surplus nuclear weapons, export controls of nuclear production material, arms export controls, arms reduction agreements between NATO and the Warsaw Pact, international ban on chemical weapons, global spread of chemical and biological weapons, prevention of sale of weapons systems to foreign countries, arms control treaties, conventional forces reduction, violation of arms control agreements, nuclear proliferation in developing countries, UN report on nuclear proliferation, arms trade in the western hemisphere, nuclear exports to India, U.S.-Soviet arms race, atomic weapons research and development, landmine control."
Defense,1606,Military Aid and Weapons Sales to other Countries.,"Examples: military assistance to other countries, conventional arms sales policies, sale of aircraft, commercial military sales, donation of an obsolete aircraft carrier, proposed sale of weapons, costs related to sales of military equipment to foreign countries, sale of decommissioned ships."
Defense,1608,"Manpower, Military Personnel and Dependents (Army, Navy, Air Force, Marines), Military Courts.","Examples: budget estimates, requests and appropriations for armed forces personnel strength levels, military personnel issues, payment of the armed forces, child care programs at military installations, armed forces staffing requirements, imminent danger pay, morale in the armed forces, welfare, and recreation programs, officer promotion procedures, shortage of affordable housing for military families, benefits for military retiree spouses, special pay to encourage personnel retention, survivor benefit plans, status of army manpower, selective service system funding, unionization of military personnel, enlistment bonuses for service in a critical skill, increase flight pay for military aviators, recruiting and retention of military personnel, life insurance for military personnel, various personnel issues during W.W.II, armed forces missing or prisoner in war zones, prisoners of war (POWs), live sightings of prisoners of war, retired military personnel issues, military court martial, transportation of armed forces, air travel of armed forces, mail for armed forces, mail for servicemen, defence department overseas teachers pay and issues, military police and discipline system, national service, conscientious objectors."
Defense,1609,Veterans Issues.,"Examples: budget estimates, requests and appropriations for veterans programs budget requests, veterans benefit claims, war pensions, benefits for war widows, disability benefit for veterans, national cemetery system, veterans job training, illness of Persian Gulf veterans (Gulf War Syndrome), disabled veterans compensation, veterans appeals adjudication procedures, veterans benefits eligibility, compensation for veterans, cost of living adjustments for veterans, delays in processing veterans claims, federal services for women veterans, veterans life insurance programs, reorganization of veteran's food service operations, military retiree benefit plans, small business loans to veterans, retired pay, veterans pay, veterans transportation issues."
Defense,1610,Military Procurement and Weapons System Acquisitions and Evaluation.,"Examples: budget estimates, requests and appropriations for procurement of weapons and defence services, defence procurement process, aircraft procurement, funding for bombers, shipbuilding and conversion programs, weapons system testing and evaluation, contracting for support services, procurement of submarines, purchasing and control of military supplies, contracting out of core logistic activities, rifle procurement program, health of strategic domestic industries, government ownership or regulation of the weapons industry."
Defense,1611,"Military Installations, Construction, and Land Transfers.","Examples: budget estimates, requests and appropriations of military construction, military construction programs, commissary system, military lands withdraw, land acquisition for defence, expansion of military bases overseas, construction of bridges by the military, management of military clubs, military land conveyances, military real estate projects, national defence facilities, military housing supplies, disposal of military property, construction of ordinance facilities, defence real estate acquisitions, disposal of synthetic rubber facilities, sale of military stores to civilian employees, war plants disposal."
Defense,1612,Reserve Forces and Reserve Affairs.,"Examples: reserve forces (eg Territorial Army, British Home Guard), army volunteer reserve and auxiliary forces, size and role of national reserve forces, laws concerning reserve affairs (eg the Reserve Forces Act 1996), reserve officer personnel management, army reserve force structure, deactivation problems of reserve units, management of military reserve vessels, management of reserve air fleet, national guard tort claims, survivor benefits for reservists, reserve members payments for life insurance, reserve pay and benefits, flight training for reserve forces, status of reserve facilities, promotion system for reserve officers, composition of the naval reserve."
Defense,1614,"Military Nuclear and Hazardous Waste Disposal, Military Environmental Compliance.","Examples: military contraventions of environmental regulations, radioactive and chemical contamination at nuclear weapons facilities, disposal of defence related waste, hazardous waste identification at military bases, navy shipboard waste disposal policy, nuclear site decontamination, military compliance with the air pollution regulations, nuclear weapons hazardous waste management, army disposal of chemical weapons stockpile, military shipment of toxic chemicals by rail, radioactive spills at air force bases, environmental impacts of missile siting."
Defense,1615,Civil Defence (War Related).,"Examples: civil defence organisations, radiological emergency planning, civil reserve air fleet, effects of limited nuclear warfare, fallout shelter construction, civil defence air raid shelter program, civil defence for national survival, civil air patrol, dept."
Defense,1616,"MOD Civilian Personnel, Civilian Employment by the Defence Industry, Military Base Closings.","Examples: civilian-military personnel (eg MOD support staff), assist workers affected by defence spending cuts, assist communities affected by military facilities closures, peacetime conversion of defence industry, base closure recommendations, maintenance of the national defence industrial base, defence industry employment, protection of civilian employees in national defence, closure of overseas military bases."
Defense,1617,Oversight of Defence Contracts and Contractors.,"Examples: investigation and audit of defence contracts (eg National Audit Office), management and pricing of defence contracts, overpricing by defence contractors, defence procurement fraud, inventory control system problems, defence contractor financial data reporting requirements, inventory control and accounting procedures, defence employees ethics program, contractors health insurance reimbursement policy, prosecution of fraudulent defence contractors, problem of product substitution by defence contractors, system for documenting defence contractor performance, fraud/cost overruns on defence procurement projects, quality assurance problems, spare parts procurement overpricing, defence contract profit policy, defence contract award procedures, review of military catalogue supply system, employment of government defence personnel by defence contractors."
Defense,1619,Direct War Related Issues.,"Examples: appropriations for military operations in overseas conflicts, public cost of specific wars (eg Iraq, Falklands War), impact of war (eg the Vietnam War), air bombing campaigns and air exclusion zones (eg Iraq in the 1990s), wartime military strategies, military supplies and equipment in wartime, ammunition shortages or other logistical problems during war, war/postwar reconstruction, relief for domestic war damage, prisoners of war, Geneva convention for protection of prisoners of war, elimination of German resources for war, shipment of war relief supplies, wartime battles or incidents (eg Dunkirk, Pearl Harbour, Hiroshima), investigation of wartime atrocities or war crimes, reparations."
Defense,1620,Relief of Claims Against U.K. Military:.,"Examples: refunds or settlements for military dependents, relief of citizen injuries caused by the military, refunds for veterans, return of confiscated property, settlement of damage claims caused by war, foreign claims settlement."
Defense,1627,Domestic and International Terrorism.,"Examples: aviation authority antiterrorist measures, government protection of witnesses of terrorist acts, security of nuclear plants from terrorist attacks, impact of international terrorism on travel, legal mechanisms to combat terrorism, political killings in foreign countries and the international response, West Germanys political response to terrorism, international aircraft piracy, negotiations/agreements to end terrorism (eg Good Friday Agreement)."
Defense,1698,Research and Development.,"Examples: defence budget requests and appropriations for research and development, advanced materials research, laser technology, R&D on aerospace plane, Naval research, tilt rotor technology, defence testing of airborne radar jammer, nuclear weapons R&D."
Defense,1699,Other.,"Examples: issues arising from military attacks or disasters, army helicopter safety, government liability for atomic weapons testing, environmental consequences of nuclear war, army food irradiation program, military commemorative legislation, the award of military medals and commemoratives (honours: eg the Victoria Cross)."
"Space, Science, Technology and Communications",1700,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Office of Science and Innovation), science and engineering personnel requirements, technology policy, review of communications regulation (eg Press Complaints Commission, OfCom), national engineering and science policy, automation and technological change, communications regulation of multiple subtopics (TV, radio, telephone, cable, etc)."
"Space, Science, Technology and Communications",1701,"Space Agencies (BNSC, ESA), U.K. Government Use of Space, Space Exploration Agreements.","Examples: space agency budget requests and appropriations (eg British National Space Centre: BNSC, British National Committee on Space Research: BNCSR, European Space Agency: ESA, European Launcher Development Organisation, European Space Research Organisation), space agency administrative issues, proposals for an international space station, costs of the space station, national aerospace plane technology, policy goals for space programs, problems with the Hubble Space Telescope, nuclear power and space exploration, reviews of space accidents, international space policy, deployment of satellites, international space cooperation, satellite communications, space mission reports, space launch vehicle requirements, missile development and space science, prototype construction of a commercial supersonic transport airplane."
"Space, Science, Technology and Communications",1704,"Commercial Use of Space, Satellites.","Examples: international competition in space launch services, domestic commercial space launch industry, satellite sale to private sector, encourage private sector development of satellite launch vehicles, status of private investment in space activities, solar power satellite research, earth resources technology satellite program, communication satellites."
"Space, Science, Technology and Communications",1705,"Science Technology Transfer, International Scientific Cooperation.","Examples: technology transfer improvements, technology transfer barriers and limitations, policy of cooperation with foreign countries on science and technology, international science cooperation, technology transfer from government to private industry, international agreements to conduct more joint science and technology research, government technology transfer activities, university and industry cooperation for technological advancements, national scientific information data processing."
"Space, Science, Technology and Communications",1706,Telephone and Telecommunication Regulation.,"Examples: national communications infrastructure, mobile communications, telephone network reliability, unauthorized switching of consumers to long distance carriers, international communications regulation, regulation of premium rate and toll free numbers, telecommunication development in rural areas, privatisation of British Telecommunications, regulation of telecommunication networks, companies and markets, regulation of telephone rates, review of government awarding of cellular (mobile) licenses (eg auction of 3G licenses), telecommunications research and policy development, regulatory practice in telecommunications, dial-a-porn regulation, rules on the interception of communications (wiretapping)."
"Space, Science, Technology and Communications",1707,"Newspaper and Broadcast Industry Regulation (TV, Cable, Radio).","Examples: newspapers, public broadcasting budget requests and appropriations (eg British Broadcasting Corporation: BBC), policy for television development (eg the Television Act 1954), commercial local radio stations, independence of broadcasting regulator, reports of investigations/studies into the future of broadcasting, development and expansion of the cable system, reform of independent television and radio services, new digital services, restrictions on foreign ownership, reallocation of radio frequencies from government to private sector use, regulation of radio, use of TV in the classroom for educational purposes, regulation of indecency and violence on TV, closed caption regulation of TV, competitive problems in the cable industry, requirements for transferring radio/TV broadcast licenses, television network acquisition approval, national public radio financial problems, film classification, programme standards, regulation of films and broadcasts demeaning ethnic, racial or religious groups, regulation of subscription TV, TV and movie rating system, newspaper industry regulation."
"Space, Science, Technology and Communications",1708,"Weather Forecasting and Related Issues, Oceanography.","Examples: budget requests and appropriations (eg Meteorological Office), modernization of the national weather service, weather forecasting and warning technologies, global change research program, ocean research vessels, geological surveys, agriculture weather information service, tornado forecasting and detection, status of the oceanographic fleet, adequacy of the national weather service severe storm forecasting, ocean and marine resources programs, marine and atmospheric science programs, arctic weather reporting stations."
"Space, Science, Technology and Communications",1709,Computer Industry and Computer Security.,"Examples: high-performance computer development, computer viruses, superconductivity research, security standards for government computers, lease of computer software, regulation of personal information held on computers, law on misuse of computers, regulation of the internet and internet use."
"Space, Science, Technology and Communications",1798,Research and Development.,"Examples: budget requests and appropriations for scientific research (eg Medical Research Council, Biotechnology and Biological Sciences Research Council, Engineering and Physical Sciences Research Council), mission of national science research, alleged abuses of research grants to universities, government cooperation with universities for science research, electric and magnetic field research, telecommunications equipment research, metals research and development, improvement of research facilities for science in universities, robotics research."
"Space, Science, Technology and Communications",1799,Other.,"Examples: establish a systematic approach to value engineering, sightings of UFOs, establish a national science academy."
Foreign Trade,1800,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Department of Trade and Industry, HM Customs and Excise), international trade and payments, world trade statistics, trade liberalisation, order in world trade in commodities, world steel trade trends and structures, various tariff and trade bills, oversight hearings on foreign trade policy, trade relations with other economies, trade reform, trade expansion, tax and trade regulations, customs court issues, trading with enemy states, post-war loans and repayments."
Foreign Trade,1802,"Trade Negotiations, Disputes, and Agreements.","Examples: free trade agreements (eg General Agreement on Tariffs and Trade: GATT), tariff negotiations, multilateral trade negotiations (eg Uruguay Round), establishment of the World Trade Organisation (WTO), domestic job market implication of trade agreements, US-EC meat trade disputes, foreign claims settlement award system, multinational trade negotiations, trade relations with foreign countries, tariff preferences for developing countries, normalization of economic relations with foreign countries, energy trade, taxation convention with foreign countries, promotion of transatlantic free trade"
Foreign Trade,1803,"Export Promotion and Regulation, Export Credit Agencies.","Examples: export development, export credit agencies and investment insurance agencies (eg Export Credits Guarantee Department), compliance with domestic trade laws related to international boycotts, export promotion programs, export financing programs, restrictions on high technology exports, oil export controls, regulation of waste exports, trade factors affecting timber exports, tax incentives to encourage exports, encourage formation of export companies, national security export licensing, export control to the Soviet Union and Warsaw Pact countries, transparency of export controls, anti-corruption due diligence, international harmonization of export credit agencies."
Foreign Trade,1804,International Private Business Investment and Corporate Development.,Examples: overseas business development and investment (eg Colonial Development Corporation est.
Foreign Trade,1806,"Productivity and Competitiveness of U.K. Business, U.K. Balance of Payments.","Examples: policies for improvement of the balance of overseas payments, international competitiveness of domestic industries (eg automobile manufacturing), national promotion of technological development, statistics and reports on national competitiveness, share of world markets, industrial trade competitiveness, government role in supporting hi-tech competitiveness, international economic competitiveness, foreign competition in the banking industry, international competitive status of the electronics industry, promotion of national goods and services (eg Buy British campaign)."
Foreign Trade,1807,"Tariff and Import Restrictions, Import Regulation","Examples: domestic industry protection, import restrictions, import duties, violation of country of origin documentation to avoid import quotas, steel import restrictions, increase of duties on materials to make pipes, restrict import activity that adversely affects industries vital to national security, country of origin labelling requirements, textiles import quota programs, countervailing duty waivers, aviation tariff charges, prohibition of goods or products from certain countries (eg Rhodesia, apartheid regime in South Africa), duty-free entry, various tariff proposals, meat import restrictions, antidumping act and import restrictions, import restrictions for the domestic shoe manufacturing industry, import relief for leather industry, embargo on certain fish and fish products, free entry of various items to colleges, universities, and for other purposes, foreign trade zones."
Foreign Trade,1808,Exchange Rates and Related Issues.,"Examples: exchange rate / trade policy, effect of strength of the domestic currency (ie sterling) on trade, international financial policy, currency manipulation and foreign exchange rates, policy regarding currency decline in foreign exchange value, impact of exchange rates on trade, international monetary reform, international exchange rate agreements or mechanisms (eg fixed exchange rates, the Exchange Rate Mechanism), fluctuation of the exchange rate."
International Affairs and Foreign Aid,1900,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations (eg Foreign and Commonwealth Office), foreign policy in view of recent world political developments, promotion of international peace and cooperation, relationship between East and West, post cold war foreign policy, foreign policy and national defence issues, international tax treaties, international development and security, international status of the U.K., post-war financial support to the U.K., role of the diplomatic service in foreign policy development and administration, foreign operations appropriations, treaty termination, role of multinational corporations in foreign policy."
International Affairs and Foreign Aid,1901,Foreign Aid.,"Examples: budget estimates, requests and appropriations for foreign assistance (eg Department for International Development), overseas development, aid to developing countries, promotion of sustainable growth in developing countries, emergency food assistance program, economic aid to eastern Europe, foreign aid to the Soviet Union, foreign assistance programs, assistance programs in Africa, donation of surplus agriculture products to countries with famine, international health assistance activities, migration and refugee assistance, food for peace program, European recovery program (ie Marshall Plan), international disaster relief."
International Affairs and Foreign Aid,1902,International Resources Exploitation and Resources Agreement.,"Examples: Antarctic environmental protection, prevention of high-seas drift net fishing, territorial sea boundaries (eg right of British fishermen to fish on the high seas off Iceland), international agreements on fishing, Antarctic minerals policy, government policy regarding the International Whaling Commission, foreign fishing in national territorial waters, regulation of exploration and recovery of international seabed hard minerals, north pacific seal fur, UN conference on the law of the sea, attempts to outlaw whaling, international conservation efforts."
International Affairs and Foreign Aid,1905,Developing Countries Issues (for financial issues see 1906).,"Examples: developing countries population problems, global hunger and food availability, impact of AIDS on children in developing countries, homeless children in developing countries, international family planning, role of environmental degradation in causing famine, assess elementary and secondary education programs in developing countries, effect of economic development projects on public health in developing countries, infant nutrition education practices, world population growth and its impact on natural resources, problem of corruption in developing countries."
International Affairs and Foreign Aid,1906,International Finance and Economic Development.,"Examples: International Monetary Fund (IMF), World Bank, multilateral development bank loans, third world debt problems, private sector development in Africa, government financial contributions to the IMF, development in regions of the global economy, promotion of economic development in certain regions or countries (eg Africa), economic summits, international financial management systems improvement, strategies to alleviate third world debt, the world economic situation and domestic economic policies, international debt and implications for international financial institutions, east-west economic relations, international energy development assistance programs, Bretton Woods agreement, national contributions to the IMF."
International Affairs and Foreign Aid,1907,China,"Examples: national policy towards China, 1989 Chinese student demonstrations (Tiananmen Square), recent political repression in China, China interference with national mail, nuclear energy cooperation with China, national policy regarding China and Taiwan."
International Affairs and Foreign Aid,1908,Soviet Union and Former Republics.,"Examples: international meetings between the Soviet Union and the three Western Powers in the 1950s, current agricultural situation in Russia, financial implications of Soviet economic reform, national policy on Ukrainian security, economic conditions in Russia, safety of Soviet Union nuclear plants, Soviet trade and economic policies, use of Soviet propaganda to influence world opinion, Soviet Union treatment of certain religious groups, assessment of Soviet activities in Asia, treaties between the U.K. and the Soviet Union, Soviet activities in Cuba, military and political rivalry between the U.S. and the Soviet Union, Soviet political leadership and implications for U.K. foreign policy, scope of Soviet activity in the U.K., containing Soviet aggression, Soviet Jews."
International Affairs and Foreign Aid,1909,Eastern Europe.,"Examples: government policy toward Afghanistan, conflict between Bosnia and Serbia, environment and energy issues in Eastern Europe, government relations with East Germany, political changes in East Europe, Yugoslavia earthquake and foreign relief assistance, status of nations under communist control, process of democratization in Eastern Europe."
International Affairs and Foreign Aid,1910,"Western Europe, Common Market Issues.","Examples: relations with Europe, 1990 German reunification, extradition treaties with European countries, political and economic conditions in Europe, tax convention with European countries, European institutions (eg Western European Union, Council of the Organisation for European Economic Co-operation (EEC), European Free Trade Area, European Free Trade Association, European Community, European Summit, European Monetary System, European Court, European Assembly, Council of Europe, Constitutional Treaty for the European Union, European Communities Act), foreign policy towards specific Western European countries (eg Spain), labour market policies in Europe, the Common Market (the Single European Market), European Economic Community and European Union, peace treaties with other European Countries."
International Affairs and Foreign Aid,1911,Africa.,"Examples: Southern African drought and implications for government policy, AIDS epidemic in Africa, crisis in Somalia, civil war in Liberia, political developments in Mozambique, government policy toward Zaire, famine and civil unrest in Sudan, Somalia, and Ethiopia, prospects for improving food development in Africa, government visits to south and central Africa, health and refugee problems in Africa."
International Affairs and Foreign Aid,1912,South Africa.,"Examples: economic sanctions against South Africa, South African war with Namibia, administration policies on apartheid, restrictions for domestic business in South Africa, world court decision on South Africas racist policies."
International Affairs and Foreign Aid,1914,"Latin America (South America, Central America, Mexico, Caribbean Basin, Cuba).","Examples: political developments in El Salvador, democracy and reconciliation in Nicaragua, Guatemala peace negotiations, democratic reform in Peru, promotion of democracy in Cuba, government policies and interest in Latin America, government policy toward Central America, violence along the U.S.-Mexican border, political situation in Haiti, relations with Honduras, prospects for democratic government in Chile, restrictions on travel to Cuba."
International Affairs and Foreign Aid,1915,Panama Canal Issues and Other International Canal Issues.,"Examples: strategic importance of the Panama Canal, claims for ship damages in the Panama Canal, Panama Canal treaty issues, Panama Canal traffic and capacity, maintenance and operation of the Canal, development of new transoceanic canal.42"
International Affairs and Foreign Aid,1919,"Asia, Pacific Rim, Australia , and Japan.","Examples: government policies in the South Pacific region, economic relations with Asia, economic embargo on North Vietnam, government policy toward Burma, political developments in the Philippines, relations with newly industrialized Asian countries, relations with New Zealand and Australia, Japanese income tax system, declining political status of Taiwan, relations with Japan, humanitarian problems in Korea, political situation in Thailand."
International Affairs and Foreign Aid,1920,Middle East.,"Examples: Arabia, political developments in the Middle East, restoration of the Kuwaiti government after the Persian Gulf War, U.K. and international policy toward humanitarian aid to Iraq, Asian responses to Iraq's invasion of Kuwait, peace process in the Middle East, relations with Iran, dispute over the West Bank, hostages in Lebanon, Islamic fundamentalism and implications for U.K. interests in the Middle East, Arab-Israeli conflict, the Iran-Iraq war."
International Affairs and Foreign Aid,1925,Human Rights.,"Examples: human rights abuses in Latin America (eg Pinochet), human rights abuses in Middle East, war crimes tribunal hearings for Serbs, U.K. international human rights policy, Helsinki Accords human rights agreements, UN report on human rights in Cuba, Soviet human rights issues, government use of torture, human rights violations in Indonesia, worldwide religious persecution, crimes associated with genocide and crimes against humanity, the Universal Declaration of Human Rights, the European Convention on Human Rights."
International Affairs and Foreign Aid,1926,"International Organizations other than Finance: United Nations (UN), UNESCO, International Red Cross.","Examples: League of Nations, U.N. conference on environment and development, management of the U.N., international labour organization, U.N. peacekeeping forces, U.K. membership in UNESCO, international games for the disabled, international criminal court, U.N. food and agricultural organization, UN activities in response to Iraq's invasion of Kuwait, national role in the U.N., U.N. peace-keeping activities, the International Olympic Committee, U.N. position on major policy issues, International Health Agency, U.N. report on international housing, construction of Olympic facilities, Football World Cups, international sports tournaments."
International Affairs and Foreign Aid,1929,"U.K. Diplomats, U.K. Embassies, U.K. Citizens Abroad, Foreign Diplomats in the U.K., Passports.","Examples: State Department's management of U.K. embassies, U.K. citizens living abroad, regulation of travel for U.K. citizens, restrictions on foreign diplomatic immunity, enhancement of security at U.K. diplomatic missions, reform the foreign service personnel system, U.K. citizens imprisoned abroad, passport fraud problems, training of foreign affairs personnel, designation of public international organizations."
International Affairs and Foreign Aid,1930,"North America and North Atlantic Ocean (United States of America, Canada).","Examples: relations with the U.S. and Canada, political and economic conditions in North America, treaties between the U.K. and U.S., intervention of the U.S. in Vietnam, government policy towards the U.S."
International Affairs and Foreign Aid,1999,Other,NA
Government Operations,2000,General (includes budget requests and appropriations for multiple departments and agencies).,"Examples: budget estimates, requests and appropriations for various government departments, agencies and independent commissions (eg Department for Education and Skills, Department of Energy, National Audit Office), budget requests for specific programs, authorization of funding of public bodies, and general government appropriations, performance of the public services (eg Citizens Charter), accountability and transparency of government, administration and funding of Church of England and the Church of Scotland."
Government Operations,2001,Intergovernmental Relations (Local Government and Local Authorities).,"Examples: the relationship between different branches of government (eg between central government and local authorities), central-local taxation or funding arrangements (eg the domestic and business rating system), finance of local government (ie calculation formulas), exchange of funds from central to regional governments, revenue sharing authorization, local government implementation of national policy, general problems with local government finances, regional governance (eg assemblies, referendums and mayoral elections), metropolitan councils, parish councils."
Government Operations,2002,Government Efficiency and Bureaucratic Oversight.,"Examples: scrutiny of government operations and conduct (eg Parliamentary Select Committees, National Audit Office), statutory inquiries, quality improvement strategies, reinventing government--restructuring the public sector, performance standards for government policies and programs, value for money (VFM) in public spending, promotion of economics, efficiency and effectiveness in government, the e-government agenda, reduction of administrative burdens (regulatory reform), agency jurisdiction overlap and reform, modernisation of the constitution and government institutions, financial soundness of government corporations, need to improve government printing practices, government management problems, department and agency internal accounting standards, effort to reduce federal paperwork, legislative oversight of government programs, government waste and abuse, government reorganization plans, conflicts of interest in regulatory agencies, applying economic analysis to public programs, government goals, government printing services, recycled paper and products for government printing."
Government Operations,2003,Postal Service Issues (Including Mail Fraud).,"Examples: budget estimates, requests and appropriations for national postal services (eg the Royal Mail), privatisation of postal services (eg the Post Office), need for additional postal facilities, oversight of postal operations, postal budgetary and cost issues, performance of first class delivery, implementation of post code, increase in overseas postal rates, operation and organization of the postal rate service, postal worker injuries, postal worker stress disorders, violence in the postal service, efforts to automate mail processing, regulation of mail solicitations, commemorative stamps, early retirement of postal employees, day care centres for postal employees, training for postmasters, regulation of obscene mail."
Government Operations,2004,"Government Employee Benefits, Civil Service Issues.","Examples: collective bargaining rights of government employees, civil service retirement benefits (ie superannuation and pensions of civil servants), government department or agency use of temporary employees, government employees leave policy, government wage policies and wage agreements, whistle blower protection for government employees, personnel awards, department personnel exchange, health benefits of civil servants, legal protection for government employees, reform pay system for government workers, early retirement program for civil servants, government personnel training programs, personnel performance appraisal system, payroll deductions for government employees, oversight of the civil service retirement system, cost of living allowances for government employees, civil service pension fund and interest earnings, manpower utilization in government, compensation of elected officials (eg Prime Minister, Ministers), government employee management relations, legislature pay and allowances (eg Member of Parliament salaries and allowances), combinations of legislative, executive, and judicial pay, reduction in government work force, independent reports on civil service and legislative pay, government pension benefits for dependents."
Government Operations,2005,Nominations and Appointments.,"Examples: nominations and appointments for all departments, agencies and public bodies (eg Civil Service Commissioners)."
Government Operations,2006,"Currency, Commemorative Coins, Medals, Royal Mint.","Examples: appropriations for the Royal Mint, minting of commemorative coins, decommissioning and replacement of existing coins or notes, gold medal awards for Olympic athletes, design of new currency, additional mint facilities, increasing coin production, decimalization."
Government Operations,2007,"Government Procurement, Procurement Fraud and Contractor Management.","Examples: appropriations for procurement policy, government procurement system, contracting-out, government acquisition improvement, arbitration of service contract disputes, contractor management, penalties for procurement fraud, auditing of contractor bills, timeliness of government payments to private vendors, efforts by federal agencies to circumvent competition, contract auditing policies, fraud in government procurement programs, government consulting service contracts, commission on government procurement."
Government Operations,2008,Government Property Management.,"Examples: government facilities construction, management of public building leases, government capital improvement program, construction projects for courthouses and prisons, restrict smoking in government buildings, government office space contract management, property sale authorization, sale of government buildings and land, donation of surplus government property to local government, construction of a social security office, relocation assistance and property acquisitions, post office buildings, designating or naming government buildings, including postal service buildings, courthouses and military medical centres, donated surplus property to local government, motor vehicles provided to officers and members of the government, sale of government assets and businesses (eg privations of British Telecom), official residences."
Government Operations,2009,Customs and Excise and Inland Revenue Administration.,"Examples: the organization and administration of customs, excise and tax collection (eg Inland Revenue, HM Customs and Excise), tax system modernization, misconduct of tax collectors, taxpayer assistance and treatment, settlement of disputes between tax payers and government, collection of delinquent income taxes, internal management and quality of service of tax collection, processing of income tax returns, reorganization of the Inland Revenue, taxpayers rights, investigation or inspection of tax records by government agencies or legislative committees."
Government Operations,2011,"Executive-Legislative Relations and Administrative Issues, Powers of the House of Lords and the House of Commons, Parliamentary Operations .","Examples: relationship between the executive and legislature (eg Cabinet and Parliamentary relations), organization and powers of the legislative branch (eg House of Commons, House of Lords), distribution of seats in the legislature (eg Boundary Commission), membership of the legislature (eg life and hereditary peerages), executive powers over the drafting of legislation, constitutional functions of the executive and the legislature in declaring and waging war, limits on war powers of the executive, votes of no confidence in the executive, legislative right of veto (eg the Parliament Act), claims of executive privilege, continuity of government during an emergency, operation of the legislature (eg Parliament), system of appointment organisation of legislative committees (eg Parliamentary Select Committees), honouring retiring members of the legislature, transition funding for handovers in control of the executive branch, constitutional reform and modernisation, TV broadcasts of legislative debates and hearings, intern programs in the legislature, investigation of a member of the legislature, rules for debate in the legislature, joint executive-legislative initiatives or committees, emergency powers of the executive, impeachment of executive officers, legislative reference service, legislative research and library issues, depository libraries, legislative investigations, legislative reorganization, statutory basis for public inquiries, devolution of constitutional powers."
Government Operations,2012,"Regulation of Political Parties, Donations and Campaigns, Political Advertising, Voter Registration, Government Ethics.","Examples: budget estimates, requests and appropriations for regulation of elections and political parties (eg the Electoral Commission), system of funding for political parties and candidates, regulation of spending on election campaigns, election campaign reform, lobbying regulations for former government employees, regulation of political campaign advertisements, televising debates on political issues, regulation of foreign corporation lobbying, campaign finance reform, political activities of government employees, financial or business interests of government employees, lobbying regulations, polling, reform of the electoral system, standards of conduct in public life (eg Parliamentary Standards Commissioner), sleaze or corruption of elected officials, rules on absentee voting (eg postal voting), electoral procedures, promotion of voter participation, combating of electoral fraud, reforms of electoral law."
Government Operations,2013,Census & Statistics.,"Examples: budget estimates, requests and appropriations for the census (eg National Statistics), census population estimates and impact on public expenditure, census undercounting, census data collection techniques, management of the census, government statistics collection, counting welfare payments as income on the census, reductions in force at the census bureau, population, demographics, population growth (not immigration/emigration)."
Government Operations,2015,Relief of Claims Against the U.K. Government.,Examples: refunds and settlements for individuals and corporations.
Government Operations,2030,Public Holidays.,"Examples: activities of public holiday and commemorative commissions, enactment of specific national holidays, provide for uniform annual observances of legal public holidays."
Government Operations,2031,"The Monarchy, Royal Family Issues, and British Nobility.","Examples: the constitutional function of the monarchy, constitutional crises (eg the abdication), legislation concerning the powers of the monarch (eg the Regency Act 1937), public funding of the royal family (ie the Civil List), official and private royal residences (eg Buckingham Palace, Sandringham House, Balmoral Castle), monarch's weekly audience with the Prime Minister, staffing, state visits, public engagements, and official entertainments, Crown Estate (eg Duchy of Cornwall), titles, hereditary rights of peers and landed gentry, official engagements, ."
Government Operations,2032,Prime Ministerial or Ministerial Scandals and Resignations.,"Examples: scandals or crises involving the Prime Minister or senior Ministers (eg the Profumo Affair, the Westland Helicopter Affair, the Hutton Inquiry), investigations into ministerial conduct and behaviour (eg Arms to Iraq), resignations of government ministers over financial or sexual conduct."
Government Operations,2099,Other.,"Examples: government cheque cashing problems, public lottery operations, former members of the legislative branch, commemorative legislation, catalogue of government assistance programs, public celebrations (eg Queens Silver Jubilee), free guide service at the legislature (eg Palace of Westminster), designation of official languages, status of indigenous languages."
"Public Lands, Water Management, Colonial and Territorial Issues",2100,General (includes combinations of multiple subtopics).,"Examples: budget estimates, requests and appropriations for the management of public lands (eg Land Registry), earth resources and drilling technology, resources planning, activities and programs of government in management and operation of public lands, conveyancing of property of the government."
