Category,Code,Sub-category,Description
"Space, Science, Technology and Communications",1706,Telephone and Telecommunication Regulation.,"Examples: national communications infrastructure, mobile communications, telephone network reliability, unauthorized switching of consumers to long distance carriers, international communications regulation, FCC regulation of 1-900 numbers, telecommunication development in rural areas, ATandT regulation, FCC regulation of telephone rates, review FCC awarding of cellular licenses, regulation of interstate telecommunications, FCC regulatory practice in telecommunications, dial-a-porn regulation."
"Space, Science, Technology and Communications",1707,"Broadcast Industry Regulation (TV, Cable, Radio).","Examples: Public Broadcasting Corporation budget requests and appropriations, FCC regulation of cable, reallocation of radio frequencies from federal to private sector use, FCC regulation of radio, use of TV in the classroom for educational purposes, regulation of violence on TV, closed caption regulation of TV, competitive problems in the cable industry, requirements for transferring radio/TV broadcast licenses, oversight of Board for International Broadcasting, FCC network acquisition approval, national public radio financial problems, establish the committee on film classification, regulation of films and broadcasts demeaning ethnic, racial or religious groups, FCC authority to regulate subscription TV, TV and movie rating system, newspaper industry regulation, Newsmens Privilege Act."
"Space, Science, Technology and Communications",1708,"Weather Forecasting and Related Issues, NOAA, Oceanography.","Examples: NOAA budget requests and appropriations, modernization of the national weather service, weather forecasting and warning technologies, NOAA and NASA global change research program, NOAA ocean research vessels, geological surveys of the US, agriculture weather information service, tornado forecasting and detection, status of the federal oceanographic fleet, adequacy of the national weather service severe storm forecasting, ocean and marine resources programs, US marine and atmospheric science programs, arctic weather reporting stations."
"Space, Science, Technology and Communications",1709,"Computer Industry, Computer Security, and General Issues related to the Internet.","Examples: high-performance computer development, computer viruses, superconductivity research, lease of computer software."
"Space, Science, Technology and Communications",1798,Research and Development.,"Examples: National Science Foundation (NSF) budget requests and appropriations, mission of NSF, alleged abuses of federal research grants to universities, federal cooperation with universities for science research, electric and magnetic field research,  38  telecommunications equipment research, metals research and development, DOE superconducting supercollider program, improving research facilities for science in US universities, HDTV research, robotics research., national aerospace plane technology, missile development and space science.."
"Space, Science, Technology and Communications",1799,Other.,"Examples: establish a systematic approach to value engineering, consider various proposals for defining US time zones, sightings of UFOs, establish a national science academy."
Foreign Trade,1800,General.,"Examples: Federal Trade Commission (FTC), US International Trade Commission, or International Trade Administration, budget requests and appropriations, world steel trade trends and structures, various tariff and trade bills, oversight hearings on US foreign trade policy, US trade relations with socialist economies, trade reform act, trade expansion act, tax and trade regulations, customs court issues, trading with enemy acts."
Foreign Trade,1802,"Trade Negotiations, Disputes, and Agreements.","Examples: north American free trade agreement (NAFTA), Caribbean basin free trade agreements, US job market implication of NAFTA, GATT final agreement, US-EC meat trade disputes, multinational trade negotiations, US and China trade relations, normalize economic relations between US and the former Soviet Union, US and Japanese commercial trade, MFN trading status of China, energy trade between US and Canada, US-Canada Free Trade Agreement, MFN status for Romania, taxation convention with Pakistan,.."
Foreign Trade,1803,"Export Promotion and Regulation, Export.","Examples: export development administration, compliance with US trade laws related to the Arab boycott, export promotion programs, EX-IM bank export financing programs, restrictions on high technology exports, tax incentives to encourage exports, encourage formation of export companies, national security export licensing, export control to the Soviet Union and Warsaw Pact countries.."
Foreign Trade,1804,"International Private Business Investments, Overseas Private Investment Corporation (OPIC).","Examples: foreign acquisition of US owned companies, foreign direct investment in the US, improve federal coordination of information on foreign investments in the US, reciprocal foreign investment protections, US business investment abroad , review foreign bank takeovers, evaluation of the overseas private investment corporation, investors involvement in illegal payments to foreign officials, activities of American  39  multinational corporations abroad, foreign investment and American jobs, removal of tax barriers as an incentive for increased foreign investments, trade fairs, international business exchange and investments.."
Foreign Trade,1806,"Productivity and Competitiveness of US Business, US Balance of Payments.","Examples: international competitiveness of the US automobile industry, national competitiveness act fostering technological development, report of the competitiveness council policy, US industrial trade competitiveness, federal role in supporting hi-tech competitiveness, US international economic competitiveness, foreign competition in the banking industry, international competitive status of the US electronics industry, Buy American Act."
Foreign Trade,1807,"Tariff and Import Restrictions, Import Regulation.","Examples: violation of country of origin documentation to avoid import quotas, steel import restrictions, increase of duties on materials to make pipes, expedite Commerce Department responses for import restriction requests, restrict import activity that adversely affects industries vital to national security, country of origin labeling requirements, US textiles import quota program, countervailing duty waivers, aviation tariff charges, prohibit importation of Rhodesian chrome, duty-free entry, various tariff proposals, meat import restrictions, antidumping act and import restrictions, import restrictions for the domestic shoe manufacturing industry, import relief for leather industry, free entry of various items to colleges, universities, and for other purposes, foreign trade zones.."
Foreign Trade,1808,Exchange Rates and Related Issues.,"Examples: Department of Treasury exchange rate policy, DOT international financial policy, currency manipulation and foreign exchange rates, exchange value of the dollar, US policy regarding dollar decline in foreign exchange value, impact of exchange rates in US trade, international monetary reform, eurocurrency monetary control, Vietnamese currency transfer legislation, fluctuation of the yen-dollar exchange rate.."
Foreign Trade,1899,Other.,
International Affairs and Foreign Aid,1900,General (Department of State and US Information Agency appropriations).,"Examples: Department of State and US Information Agency Budget Requests and Appropriations, US foreign policy in view of recent world political developments, US post cold war foreign policy, US foreign policy and national defense issues, international tax treaties, international development and security, the US ideological offensive--changing foreign opinion about the US, role of the diplomatic corps in foreign policy development and administration, foreign operations appropriations, information and educational exchange act, require Senate approval of treaty termination,  40  establish the US academy of peace, role of multinational corporations in US foreign policy, Department of Peace, National Peace Agency.."
International Affairs and Foreign Aid,1901,US Foreign Aid.,"Examples: Foreign Assistance budget requests and appropriations, emergency food assistance program, US economic aid to eastern Europe, US foreign aid to the Soviet Union, foreign assistance and Peace Corps programs, US assistance programs in Africa, proposals for financial assistance to Northern Ireland, donation of surplus agriculture products to countries with famine, US international health assistance activities, migration and refugee assistance, food for peace program, European recovery program, international disaster relief, Foreign Assistance Act and its relationship to drugs.."
International Affairs and Foreign Aid,1902,International Resources Exploitation and Resources Agreement.,"Examples: Antarctic environmental protection, prevention of high-seas drift net fishing, US territorial sea boundaries, international agreements on fishing, Antarctic minerals policy, US policy regarding the International Whaling Commission, foreign fishing in US Territorial waters, regulation of exploration and recovery of international seabed hard minerals, north pacific seal fur treaty between the U.S, Canada, Japan, and the Soviets, UN conference on the law of the sea, attempts to outlaw whaling, international conservation efforts."
International Affairs and Foreign Aid,1905,Developing Countries Issues.,"Examples: developing countries population problems, global hunger and food availability, impact of AIDS on children in developing countries, homeless children in developing countries, international family planning, role of environmental degradation in causing famine, assess elementary and secondary education programs in developing countries, effect of economic development projects on public health in developing countries, infant nutrition education practices, world population growth and its impact on natural resources. "
International Affairs and Foreign Aid,1906,International Finance and Economic Development.,"Examples: International Monetary Fund (IMF), World Bank, multilateral development bank loans, Inter-American development bank, third world debt problems, Council on International Economic Policy, Agency for International Development (AID), private sector development in Africa, US financial contribution to the IMF, European development and the US economy, promotion of economic development in Latin America, Paris economic summit issues, international financial management systems improvement, economic development in the Caribbean Basin, strategies to alleviate third world debt, world economic situation and US economic policies, international debt and implications for international financial institutions, east-west economic relations, international energy development assistance programs, Bretton Woods agreement increasing US contributions to the IMF."
International Affairs and Foreign Aid,1907,China.,"Examples: US policy towards China, 1989 Chinese student demonstrations, the return of Hong Kong to China, recent political repression in China, China interference with US mail, nuclear energy cooperation with China, US policy regarding China and Taiwan.."
International Affairs and Foreign Aid,1908,Soviet Union and Former Republics.,"Examples: current agricultural situation in Russia without reference to trade or aid, financial implications of Soviet economic reform, US policy on Ukrainian security, economic conditions in Russia, safety of Soviet Union nuclear plants, use of Soviet propaganda to influence world opinion, assessment of Soviet activities in Asia, treaties between the US and the Soviet Union, Soviet activities in Cuba, political rivalry between the US and the Soviet Union, Soviet political leadership and implications for US foreign policy, scope of Soviet activity in the US, containing Soviet aggression, Soviet Jews, policy issues related to the nations of Turkmenistan, Azerbaijan, Georgia, and Armenia and the other former republics of the Soviet Union."
International Affairs and Foreign Aid,1909,Eastern Europe.,"Examples: conflict between Bosnia and Serbia, US relations with East Germany, political changes in East Europe, US Hungarian claims settlement agreement, status of nations under communist control, investigation of communist takeover of Hungary, Poland, Lithuania, and Slovakia.."
International Affairs and Foreign Aid,1910,"Western Europe, Common Market Issues.","Examples: 1990 German reunification, extradition treaty between US, UK and Northern Ireland, political and economic conditions in Europe, tax convention with the UK, European Union, treaty of friendship and cooperation with Spain, US policy toward Portugal, labor market policy in Sweden, British entry into the Common Market and its implications for the US, civil conflict in Northern Ireland, peace treaties with Italy and Romania, treaties with Turkey, Cyprus, and Greece."
International Affairs and Foreign Aid,1911,Africa.,"Examples: Southern African drought and implications for US policy, AIDS epidemic in Africa, crisis in Somalia, civil war in Liberia, political developments in Mozambique, US policy toward Zaire, famine and civil unrest in Sudan, Somalia, and Ethiopia, prospects for improving food development in Africa, State Department trip through south and central Africa, health and refugee problems in Africa, US role in opening the Suez Canal, issues related to the Sudan, Egypt, Libya and other nations on the continent of Africa."
International Affairs and Foreign Aid,1912,South Africa.,"Examples: economic sanctions against South Africa, South African war with Namibia, administration policies on apartheid, restrictions for US business in South Africa, world court decision on South Africas racist policies.."
International Affairs and Foreign Aid,1914,"Latin America (South America, Central America, Mexico, Caribbean Basin, Cuba).","Examples: political developments in El Salvador, democracy and reconciliation in Nicaragua, Guatemala peace negotiations, democratic reform in Peru and US policy, general actions to promote democracy in Cuba, US policies and interest in Latin America, US policy toward Central America, political situation in Haiti, US relations with Honduras, prospects for democratic government in Chile, ban on travel to Cuba.."
International Affairs and Foreign Aid,1915,Panama Canal Issues and Other International Canal Issues.,"Examples: Panama Canal Commission appropriations, strategic importance of the Panama Canal, claims for ship damages in the Panama Canal, Panama Canal treaty issues, Panama Canal traffic and capacity, maintenance and operation of the Canal, development of new transoceanic canal.."
International Affairs and Foreign Aid,1919,"Asia, Pacific Rim, Australia, and Japan.","Examples: US policies in the South Pacific region, US policy toward Hong Kong, US policy toward Burma, political developments in the Philippines, US relations with Cambodia, US relations with newly industrialized Asian countries, US relations with New Zealand and Australia, implications of the Union Carbide accident in India, Japanese income tax system, declining political status of Taiwan, US-Japanese relations, humanitarian problems in Korea, political situation in Thailand, US policy towards Afghanistan.."
International Affairs and Foreign Aid,1920,Middle East.,"Examples: political developments in the Middle East, restoration of the Kuwaiti government after the Persian Gulf War, Asian responses to Iraqs invasion of Kuwait, peace process in the Middle East, US relations with Iran, dispute over the West Bank, hostages in Lebanon, US opposition to PLO application to the World Health Organization, Islamic fundamentalism and implications for US interests in the Middle East, Arab-Israeli conflict, US policy towards Saudi Arabia, Oman, Yemen, Turkey, or Iran."
International Affairs and Foreign Aid,1925,Human Rights.,"Examples: Human rights abuses in Latin America, human rights abuses in Middle East, war crimes tribunal hearings for Serbs, US international human rights policy, Helsinki Accords human rights agreements, UN report on human rights in Cuba, Soviet human rights issues, government use of torture, human rights violations in Indonesia, worldwide religious persecution, crimes associated with genocide and crimes against humanity."
International Affairs and Foreign Aid,1926,"International Organizations other than Finance: United Nations (UN), UNESCO, International Red Cross ","Examples: UN conference on environment and development, management of the UN, international labor organization, termination of U.S. membership in UNESCO, international games for the disabled, international criminal court, UN food and agricultural organization, UN activities in response to Iraq’s invasion of Kuwait, review of US role in the UN, planning preparation for 1984 summer Olympics, UN position on major policy issues, International Health Agency, UN report on international housing, construction of Olympic facilities. "
International Affairs and Foreign Aid,1927,"Terrorism, Hijacking.","Examples: US protection of witnesses of terrorist acts, security of nuclear plants from terrorist attacks, impact of international terrorism on travel, legal mechanisms to combat terrorism, political killings in foreign countries and the international response, West Germanys political response to terrorism, international aircraft piracy."
International Affairs and Foreign Aid,1929,"US Diplomats, US Embassies, US Citizens Abroad, Foreign Diplomats in the US, Passports.","Examples: State Departments management of US embassies, US citizens living abroad, regulation of travel for US citizens, restrictions on foreign diplomatic immunity, Overseas Teacher Act, enhancement of security at US diplomatic missions, reform the foreign service personnel system, US citizens imprisoned in Mexico, passport fraud problems, training of foreign affairs personnel, Voice of America program, Radio Free Europe program, Unites States Information Agency (USIA), Peace Corps, US Academy of Foreign Service or US Foreign Service Academy, Radio Marti, designation of public international organizations, International Claims Act, Foreign Claims Act, Foreign Claims Settlement Commission."
International Affairs and Foreign Aid,1999,Other.,20
Government Operations,2000,General (includes budget requests and appropriations for multiple departments and agencies).,"Examples: budget requests for various agencies and independent commissions, budget requests for DOL, HHS, and DOE, appropriations for VA, HUD, and independent agencies, budget requests for DOC, DOS, and DOJ, appropriations for the GSA, budget requests for legislative branch programs, supplemental appropriation bills, appropriations for the Treasury, Postal Service, and general government appropriations  44."
Government Operations,2001,Intergovernmental Relations.,"Examples: federal, state, and local sector role in economic development, general exchange or transfer of funds from federal to state governments, performance of the advisory committee on intergovernmental relations, general revenue sharing authorization, state implementation of federal bloc grants, general revenue sharing, federal grant management reform, problems with state and local government finances, federal v. state claims to offshore resources.."
Government Operations,2002,Government Efficiency and Bureaucratic Oversight.,"Examples: quality improvement strategies, reinventing government--restructuring the public sector, performance standards for federal agency programs, role of the council on competitiveness in regulatory review, agency jurisdiction overlap and reform, financial soundness of government corporations,  need to improve government printing practices, government management problems, rule making committees in the development of federal regulations, federal agency use of advisory committees, oversight of the OMB, federal agency internal accounting standards, effort to reduce federal paperwork, allowing industry to comment on proposed federal regulations, decreasing agency reports to Congress, legislative oversight of federal agency programs, proposal to terminate DOE and transfer its functions, government waste and abuse, investigation into mismanagement of the GSA, government reorganization plans, conflicts of interest in regulatory agencies, applying economic analysis to public programs, Inspectors General, executive reorganization or executive branch reorganization, government goals, Administrative Conference Act, government printing office, recycled paper and products for government printing."
Government Operations,2003,Postal Service Issues (Including Mail Fraud).,"Examples: United States Postal Service (USPS) budget requests and appropriations, USPS rental of property, need for additional postal facilities, oversight of USPS operations, USPS budgetary and cost issues, performance of USPS first class delivery, USPS implementation of a nine digit zip code, increase in overseas postal rates, operation and organization of the postal rate service, postal worker injuries, postal worker stress disorders, violence in the USPS, postal reorganization act, USPS efforts to automate mail processing, regulation of mail solicitations, deceptive mailing prevention act, commemorative stamps, annual report of the postmaster general, early retirement of postal employees, day care centers for postal employees, training for postmasters, regulation of obscene mail."
Government Operations,2004,"Government Employee Benefits, Civil Service Issues.","Examples: federal employee collective bargaining rights, civil service retirement benefits, federal agencies use of temporary employees, White House personnel authorization act, federal employees leave policy, federal and military wage policies, whistle blower protection for federal employees, federal personnel awards, executive personnel  45  exchange, personnel management policies of the Senior Executive Service, tort protection for federal employees, reform pay system for federal workers, early retirement program for federal workers, government personnel training programs, federal employee contribution requirement, personnel performance appraisal system, payroll deductions for federal employees, oversight of the civil service retirement system, cost of living allowances for federal employees, authorize additional GS-16, GS-17, and GS-18 positions, civil service pension fund and interest earnings, manpower utilization in the federal government, Presidential compensation, federal employee management relations, congressional pay and congressional wages, combinations of legislative, executive, and judicial pay, reduction in force, merit systems protection board."
Government Operations,2005,Nominations and Appointments.,Examples: nominations and appointments for all departments and agencies..
Government Operations,2006,"Currency, Commemorative Coins, Medals, US Mint.","Examples: appropriations for the US Mint, minting of commemorative coins, replacement of one dollar bills with coins, statehood commemorative coins, gold medal awards for Olympic athletes, design of new US currency, George Washington commemorative coin act, Susan B. Anthony dollar, additional mint facilities in Denver, increasing coin production, coin to commemorate the Louisiana purchase, congressional gold medals, Congressional Medals for non-military actions."
Government Operations,2007,"Government Procurement, Procurement Fraud and Contractor Management.","Examples: appropriations for the Office of Federal Procurement Policy, government procurement system, federal acquisition improvement, arbitration of service contract disputes, DOE contractor management, penalties for federal procurement fraud, GSA auditing of contractor bills, timeliness of federal payments to private vendors, efforts by federal agencies to circumvent the competition in contracting act, federal contract auditing policies, fraud in federal procurement programs, federal consulting service contracts, commission on government procurement, federal contract renegotiation act, omnibus contracting legislation."
Government Operations,2008,Government Property Management.,"Examples: federal facilities construction, GSA management of public building leases, GSAs capital improvement program, construction projects for federal courthouses, restrict smoking in federal buildings, operating costs of presidential libraries, government office space contract management, DOE property sale authorization, sale of a federal building to San Francisco, donation of surplus federal property to state and local  governments, construction of a social security office, relocation assistance and property acquisitions, foreign service buildings act, post office buildings, designating or naming  46  federal buildings, including postal service buildings, federal courthouses, and VA medical centers, donated surplus property to states and local governments, motor vehicles provided to officers and members of the federal government."
Government Operations,2009,IRS Administration.,"Examples: IRS tax system modernization, IRS employee misconduct, taxpayer assistance and treatment, settlement of disputes between tax payers and IRS, IRS collection of delinquent income taxes, , IRS internal management and quality of service, IRS processing of income tax returns, reorganization of the IRS, taxpayers bill of rights, investigation or inspection of tax records by federal agencies or congressional committees, collection procedures for federal taxes."
Government Operations,2010,Presidential Impeachment and Scandal.,"Examples: access to materials of the Nixon Administration, CIA involvement in Watergate, pardon of Nixon, transcripts of recorded presidential conversations, statement of information provided by Nixon, legal issues associated with the impeachment of Nixon, Kissingers role in wiretapping, 1972 presidential campaign activities, special prosecutor and Watergate grand jury legislation, Whitewater, Clinton impeachment, Lewinsky scandal, Travelgate (White House Travel Office).."
Government Operations,2011,"Federal Government Branch Relations and Administrative Issues, Congressional Operations.","Examples: line-item veto proposals, pocket veto issues, constitutional roles of the president and Congress in declaring and waging war, limits on presidential war powers, amendment to permit legislative vetoes, Supreme Court ruling on the legislative veto, presidential claim of executive privilege for withholding information from Congress, continuity of federal government during an emergency, joint committee on the organization of Congress, operation of Congress, reorganization of Congressional committees, honoring retiring House members, presidential transition funding, TV broadcasts of Senate hearings, operation of the Senate Office of Sergeant at Arms, Congressional page system, investigation of a Senator, electronic voting equipment in the Senate, transmittal of executive agreements to Congress, require the president to submit annual social reports to Congress, House rules for debate, creation of a joint committee on the budget, president's emergency powers, impeachment of federal officers other than the President, legislative reference service, legislative research, Library of Congress issues, depository libraries, congressional investigations, franking privilege, legislative reorganization.."
Government Operations,2012,"Regulation of Political Campaigns, Political Advertising, PAC regulation, Government Ethics.","Examples: appropriations for the Federal Election Commission and the Office of Government Ethics, federal election campaign reform, lobbying regulations for former federal employees, regulation of political campaign ads, televising debates on political issues, revising the presidential election campaign fund system, regulation on foreign corporation lobbying, campaign finance reform, political activities of federal employees,  47  financial or business interests of Senate employees, lobbying regulations, polling, independent counsel (other than presidential investigations), Hatch Act (specifically dealing with political activities of federal employees), electoral college reform.."
Government Operations,2013,Census.,"Examples: census bureau budget requests and appropriations, census bureaus population estimates and impact on state funding, census undercounting, census data collection techniques, management of the census, federal statistics collection, counting welfare payments as income on the census, reductions in force at the census bureau.."
Government Operations,2014,District of Columbia Affairs.,"Examples: DC budget requests and appropriations, creation of the DC supreme court, DC public school system, health care reform in DC, water quality problems in DC, statehood for DC, transfer ownership of RFK to DC, revise the DC judicial system, overcrowding in DC correctional facilities, DC commuter tax, DC borrowing authority extension, Washington metropolitan area transit authority metrorail construction, DC fiscal problems, drug and crime crisis in DC."
Government Operations,2015,Relief of Claims against the US Government.,"Examples: Refunds and settlements for individuals and corporations, terrorist attack compensation policies without other substantive dimensions.."
Government Operations,2030,Federal Holidays.,"Examples: activities of federal holiday and commemorative commissions, enactment of MLK, Jr. birthday as a national holiday, provide for uniform annual observances of legal public holidays on Mondays, establish Veterans Day as a holiday.."
Government Operations,2099,Other.,"Examples: government check cashing problems, state lottery operations, former members of Congress organization, review winning papers in a high school essay contest, federal audio-visual materials, commemorative legislation, catalog of federal assistance programs, bicentennial celebration, free guide service at U.S. Capitol. "
Public Lands and Water Management,2100,General.,"Examples: Budget Requests and Appropriations for the Department of Interior (DOI) and the Bureau of Land Management, proposed plan for the Department of Natural  48  Resources, earth resources and drilling technology, resources planning, resource recovery act, activities and programs of the DOI, conveyance of certain real property of the US government, conveyance of certain real property to states.."
Public Lands and Water Management,2101,"National Parks, Memorials, Historic Sites, and Recreation.","Examples: Budget requests for the National Park Service and Smithsonian Museums, concessions management at National Parks, Wounded Knee Park and Memorial, park protection legislation, management of Yellowstone Park, National Park Service feasibility study, threats to national parks, establishment of Barrier Island National Park, inclusion of Alaska Lands in the national park system, national forest recreation facilities, national park management issues, river systems recreation assessment, aviation heritage national historic preservation act, community recreation enhancement, recreational boating safety, national African American museum, historical park designation, designation of scenic trails, maintenance on  monuments and memorials, proposals for a national visitors center, military parks and memorials, land conveyance for national parks or national memorials, Wild and Scenic Rivers, land conveyance for monuments, national seashore issues, National Historic Preservation Act, National Register of Historic Places, Smithsonian Institution issues."
Public Lands and Water Management,2102,Native American Affairs.,"Examples: Budget proposals and appropriations for Indian programs, Indian health programs, Indian water claims, federal recognition of Indian tribes, assistance to Indian tribal courts, management of Indian irrigation projects, economic aid for Indian reservations, law enforcement on Indian reservations, Indian participation in government contracting, Indian health care programs, Native Hawaiian children educational problems, Alaskan natives claims settlement, land conveyance involving Native American lands or Native American groups, Indian Child Welfare Act, Indian gambling and casinos, Indian Gaming Regulatory Act."
Public Lands and Water Management,2103,"Natural Resources, Public Lands, and Forest Management.","Examples: Budget requests and appropriations for the Forest Service and the Bureau of Mines, national forest timber sales programs, timber supply stability, forest health and clear-cutting, Colorado wilderness act, wilderness area designation, management of Pacific-Northwest old forest growths, mine reclamation, various public lands bills, forest fire prevention and control, modification of public land boundaries, management of livestock grazing on public lands, grazing fees on public lands, public land conveyance bills, enforcement of federal mining standards, wild horse control on public lands, deep seabed mineral resources, development of mineral resources on public lands, mineral exploration and development, conveyance of lands to school districts, conveyance of sewage systems on public lands, protection of archeological resources on public lands, conveyance of fish hatcheries, conveyance of public lands, payments to states from receipts derived from national forests located within such states, protecting the shores of publicly owned property."
Public Lands and Water Management,2104,Water Resources Development and Research.,"Examples: Budget requests and Appropriations for civil works programs and the Army Corps of Engineers, budget requests and appropriations for energy and water development projects, Army Corps of Engineers water resources development programs, Mississippi water development, water resources development, appropriations for dam construction, Missouri River Basin irrigation project, Colorado River Basin salinity control program, federal flood control programs, River and Harbor Flood Control Act, energy and water development projects, dredging in the Missouri River, deep water port construction, safety of dams and other water storage and control structures, Upper Snake River irrigation projects, various reclamation projects, reservoir construction, navigation and flood control projects, interstate water compacts, connecting bodies of water, Small Reclamation Projects Act, Bureau of Reclamation, general reclamation projects."
Public Lands and Water Management,2105,US Dependencies and Territorial Issues.,"Examples: future political status of Palau, Puerto Rico statehood issues, federal-territorial relationship between the US and Guam, compact of free association between the US and Pacific island nations, federal policies for economic development of Guam, termination of trusteeship of the Marshall Islands, proposed changes in the constitution of America Samoa, Alaska and Hawaii territorial issues, statehood for Hawaii and Alaska, Virgin Islands Corporation, various Organic Acts related to territories, former territories, and US protectorates."
